label,ns,ne,nw,nh,nk,na,nf,se,sw,sh,sk,sa,sf,ew,eh,ek,ea,ef,wh,wk,wa,wf,hk,ha,hh,hf,ka,kh,kf,ah,af
correct,5.214356617,7.734019772,7.954921973,49.60458912,26.03706043,46.10194776,47.00224932,12.11536683,10.36351769,54.14615061,30.66122919,50.62674582,51.93010968,4.840643782,42.05070639,18.54587826,38.53507025,39.92731155,44.53323429,21.51442398,41.0119362,43.22721053,20.00526455,40.07920677,43.57517835,8.346409976,20.07506761,23.57016052,21.73735205,3.524134626,8.142183021
correct,2.566075824,7.317840441,4.588808072,39.44219524,23.40955079,37.46403605,40.77057679,9.482471801,6.258944778,41.53949436,25.57839839,39.55886508,43.09076262,3.582910539,32.12710033,16.11293471,30.14838562,33.62867847,35.31277511,19.41801549,33.33210108,37.07618008,12.97753524,27.03844647,29.01526602,6.669445724,14.10342615,16.07167535,17.83251572,1.980735788,7.291565264
correct,3.162979926,11.55193982,9.449158749,46.64951474,28.01227203,43.06361422,44.94503129,9.024487011,6.287341364,44.5570849,25.89406281,40.94139839,43.25238453,5.896154898,35.61776162,16.99248519,31.99083437,34.67444623,40.55166959,22.19026513,36.91552797,40.12168207,15.25459392,30.3120989,33.92011028,6.562486628,15.05974461,18.66561166,18.01128186,3.636975938,6.99607091
correct,4.65632106,11.03572784,9.578696169,54.75597271,29.74661387,51.47427926,54.9117823,14.2932408,11.65389899,58.82701299,33.82288057,55.51366476,59.26643563,4.126116405,44.81059444,19.99378434,41.46816885,45.8448894,48.3794041,23.80016654,45.0227923,49.70294174,20.28897753,42.01668465,45.30161471,6.95748482,21.72772148,25.01757802,25.90566224,3.361915628,8.28626803
correct,9.655872778,4.771448967,10.42849819,37.84041814,32.72355776,35.85518247,31.30542157,7.389789907,16.20012695,28.24056919,23.23149283,26.24885531,21.94412681,8.984339661,35.19878533,30.38658023,33.20068774,29.20962034,42.864457,38.43593974,40.88551215,37.47616139,4.571552704,8.29602239,10.07804956,7.518843253,3.848822959,5.520841304,2.124038091,1.998130271,5.953517427
correct,10.58161661,6.911497771,8.520065431,42.01130118,35.23216494,40.39375172,36.25017178,5.310594635,13.46277204,31.43798155,24.69659074,29.81853439,25.81501019,8.181744483,36.03099303,29.46637903,34.40456577,30.74921018,42.88635743,36.66059017,41.27123147,38.16400385,8.269236266,13.51883564,15.11559017,6.955395082,5.440439465,6.962557116,2.35653468,1.626466066,5.754338728
correct,11.55271366,7.077140127,11.85761926,40.41225346,33.14654599,38.40827756,33.31395528,7.274104053,16.33415877,28.86930124,21.59487741,26.87033573,21.76419315,9.293790868,34.81859693,27.74097487,32.79538086,28.05518972,41.19337256,34.62934021,39.2045482,35.12073401,6.838169604,12.12688984,13.96679655,7.33701613,5.370655574,7.313833527,0.947681224,2.023351079,5.500058021
correct,9.886390545,4.621531317,9.658665728,38.18534789,31.49147599,36.14029327,31.3964131,8.123175941,16.05673882,28.50979368,21.94544662,26.44956562,22.09611567,8.04943598,36.43631242,29.98125379,34.37000602,30.20342818,43.84486294,37.59808384,41.78308374,37.97436979,4.770288667,9.545290649,11.5401172,7.684690096,4.902133843,6.821368723,2.10522833,2.066662496,6.070799243
correct,1.538490591,9.289047408,8.311828026,31.45680253,19.24544821,29.35412657,32.71386187,8.558707608,7.073315711,30.99527735,18.81986944,28.88212251,32.45560875,3.811578366,22.53983127,10.49450099,20.42157808,24.30226256,25.39732817,13.73661757,23.28823685,27.52673073,10.47051976,20.57882821,22.66345611,4.334392915,10.11647371,12.21293869,13.82316495,2.11861149,5.444930789
correct,2.414270902,8.491587328,6.567149838,41.29989213,23.01473973,38.71705027,41.48652831,9.712231847,6.691637992,42.41287018,24.26094507,39.83441143,42.95731298,4.43788121,32.81912994,14.57447508,30.23653071,33.25165542,35.99367201,18.11299847,33.42722138,36.99354107,14.83619564,30.54520576,33.12793835,6.754923629,15.74882317,18.32761067,18.89878424,2.582842628,7.132117924
correct,13.49864589,10.20226468,15.57035154,43.13063194,36.39362588,41.89088824,35.57884949,11.28194567,20.56213144,29.74667386,22.94999678,28.53727695,22.39900877,9.293841827,37.03971569,30.8427979,35.71914053,29.146845,43.75722806,38.17711836,42.41970607,35.91532083,7.013849527,12.79790536,13.81139588,7.907494272,5.797179611,6.87869502,3.555243732,1.337696162,6.578298295
correct,17.32236684,6.729510503,11.04472913,44.18617972,39.79463501,42.50199758,35.46698918,11.47005633,22.28232889,26.8665711,22.55796274,25.18121199,18.38256203,11.66801044,38.14281733,33.98163939,36.45247589,29.85216179,47.57156459,43.95580397,45.90677848,40.22378952,4.534262498,8.136584285,9.542208742,9.573889533,3.695190387,5.01152773,4.60755392,1.690368726,8.103683712
correct,3.848675689,11.02268395,8.434362638,55.19641744,30.38914001,51.92256344,54.21004678,14.4343198,11.18475999,58.67996075,33.94230779,55.3954062,57.93704695,4.353387582,44.24726418,19.52895913,40.96425262,43.75497481,47.7957791,23.3414639,44.50240043,47.76540769,21.18391945,42.73968935,46.00723282,8.96917541,21.58537047,24.83819648,24.53335014,3.293925959,9.372819772
correct,2.27331738,8.212436068,6.3599318,40.21164924,21.88588741,37.98002242,41.09961175,9.850662542,7.182078483,42.02301481,23.7177856,39.78111771,43.11836488,4.05171305,32.18641638,13.91541887,29.94132981,33.54845973,35.54236951,17.48425834,33.28875534,37.28344203,15.23415078,31.3190631,33.55513773,6.577557268,16.09614078,18.3257664,19.84981692,2.253855554,7.374472083
correct,1.959865327,9.991973911,8.892186775,49.36876309,28.03158075,45.98042783,48.2310953,10.80183548,8.658220599,50.49192554,29.15528791,47.08351585,49.59490228,5.377847647,39.77214763,18.48609169,36.3503409,39.26647826,43.71855388,22.78440015,40.27829355,43.81544623,17.60559158,35.5540938,38.94594559,7.005809924,17.94884987,21.34250606,21.06221021,3.440289125,7.657138398
correct,8.38219574,3.921359187,9.575372081,27.02433274,22.76177579,25.96714103,20.63314954,8.879273477,15.29209237,18.64289466,14.39889511,17.58855573,12.26760883,6.618023452,26.84411701,22.89543938,25.74798982,20.78175456,32.32090661,28.69937427,31.21195066,26.64027976,2.652363477,6.310008194,7.045233904,6.539376367,3.706739391,4.54645626,2.131786738,1.109151802,5.584545057
correct,1.479643291,4.990791515,4.376028928,17.99485695,11.11428195,17.44015827,20.00828136,5.329935915,3.820084167,18.41122018,11.77923545,17.86773909,20.66169108,2.987395209,13.0891209,6.562218185,12.54292176,15.38251461,15.24308759,9.295214069,14.72571546,17.90142012,7.847861057,13.49685147,14.02748326,3.884354411,6.672746008,7.239153319,8.897791641,0.56696049,4.063446246
correct,11.2650115,4.138006708,8.593467951,44.64634536,38.65720427,42.81498707,37.09347373,7.783046491,18.04458651,33.43272976,27.41141519,31.61031213,25.83026017,10.38520871,40.82373244,34.90041522,38.9836022,33.46673278,50.02328091,44.33050662,48.17549578,43.17380039,4.285501134,8.517001208,10.01617315,8.427168731,4.429064976,6.13124061,2.785357873,1.848412845,6.927475757
correct,9.910380378,15.54169207,15.31111077,48.55047471,30.57469317,45.18741498,45.20490514,9.379661099,6.163798161,45.19963779,26.45194197,41.62717491,43.12160324,5.687820703,35.82917195,17.07849057,32.2518579,33.93497077,40.50787598,21.88125269,36.90147795,39.09115732,15.78311249,30.95741495,34.53331502,6.088630146,15.17539995,18.75091997,17.37645881,3.608728405,6.219161697
correct,12.90085221,3.267776493,12.87877144,34.14414315,32.45738036,33.44159152,27.754054,11.02176007,21.35724667,21.2614828,19.69311809,20.55741326,15.33371062,11.78444661,32.18822134,30.70867426,31.48250281,26.29069973,41.03074549,40.12449701,40.34205016,36.43731118,0.847698022,3.14349444,3.306416595,7.968018444,2.533092783,2.843633318,5.359029965,0.705761922,7.427204691
correct,8.193914893,4.28436196,8.559182262,31.12011969,23.96665333,29.30287567,24.95673099,5.994473981,11.98544374,23.319966,16.27188589,21.50567932,17.64509272,6.397778841,29.24101924,22.24159272,27.43254309,23.63777388,34.5182411,27.77075097,32.74624911,29.42349195,5.592181395,10.93851074,12.75303076,6.952292351,5.360229638,7.168563053,2.623845769,1.818282897,5.387745724
correct,9.362410585,5.956935871,11.10568529,27.31016056,24.29252889,26.60436249,21.1012475,8.78539869,15.16602249,18.14242382,15.35607266,17.41129437,12.04613128,6.619611551,26.40154118,23.90718393,25.64005793,20.55517222,31.92389634,29.76310758,31.14851828,26.4208925,2.897140189,5.928349631,6.170406499,6.239441767,3.131288723,3.527205944,3.354805742,0.777168459,5.575787316
correct,2.364924048,8.856320615,8.398178502,41.95627747,24.83915259,39.49191608,41.0163089,9.047447405,7.144385453,42.46029462,25.37039111,39.96870331,41.93412009,5.359702801,33.41650492,16.34608871,30.92270705,33.1266332,37.03474161,20.36226113,34.5167908,37.5015831,14.11123806,28.75239112,31.22808674,7.057389896,14.65345953,17.11937381,17.20370755,2.518246642,7.490634406
correct,11.49951765,4.41887065,11.03816206,42.92540114,38.84275488,41.26983691,35.62468411,8.274566696,18.8339637,31.44656875,27.34456909,29.79766842,24.14751338,11.04295815,39.23542547,35.26612598,37.56484724,32.24465289,47.72801013,44.13970753,46.05347521,41.608,3.709460796,6.677627262,7.892051484,8.228789574,2.981659014,4.343836554,3.937052267,1.679710031,6.916623902
